name,total,Year,Month
Pulaski Bridge,96905,2020,06
Pulaski Bridge,93400,2020,07
Pulaski Bridge,98348,2020,08
Pulaski Bridge,97510,2020,09
Pulaski Bridge,80827,2020,10
Pulaski Bridge,64383,2020,11
Pulaski Bridge,37257,2020,12
Pulaski Bridge,39585,2021,01
Pulaski Bridge,20127,2021,02
Pulaski Bridge,53230,2021,03
Pulaski Bridge,65955,2021,04
Pulaski Bridge,79744,2021,05
Pulaski Bridge,83257,2021,06
Pulaski Bridge,79935,2021,07
Pulaski Bridge,80817,2021,08
Pulaski Bridge,85905,2021,09
Pulaski Bridge,80405,2021,10
Pulaski Bridge,56956,2021,11
Pulaski Bridge,46195,2021,12
Pulaski Bridge,28442,2022,01
Pulaski Bridge,34054,2022,02
Pulaski Bridge,52219,2022,03
Pulaski Bridge,63453,2022,04
Pulaski Bridge,75583,2022,05
Pulaski Bridge,88014,2022,06
Pulaski Bridge,92952,2022,07
Pulaski Bridge,95952,2022,08
Pulaski Bridge,88020,2022,09
Pulaski Bridge,71129,2022,10
Pulaski Bridge,55987,2022,11
Pulaski Bridge,36972,2022,12
Pulaski Bridge,44541,2023,01
Pulaski Bridge,41131,2023,02
Pulaski Bridge,52238,2023,03
Pulaski Bridge,68088,2023,04
Pulaski Bridge,85875,2023,05
Pulaski Bridge,72790,2023,06
Pulaski Bridge,80030,2023,07
Pulaski Bridge,93044,2023,08
Pulaski Bridge,76299,2023,09
Pulaski Bridge,82171,2023,10
Pulaski Bridge,60621,2023,11
Pulaski Bridge,48199,2023,12
Pulaski Bridge,40785,2024,01
Pulaski Bridge,48096,2024,02
Pulaski Bridge,63441,2024,03
Pulaski Bridge,76262,2024,04
Pulaski Bridge,98629,2024,05
Pulaski Bridge,118409,2024,06
Pulaski Bridge,127805,2024,07
Pulaski Bridge,117459,2024,08
Pulaski Bridge,118565,2024,09
Staten Island Ferry,479,2016,03
Staten Island Ferry,13488,2016,04
Staten Island Ferry,14900,2016,05
Staten Island Ferry,18021,2016,06
Staten Island Ferry,17601,2016,07
Staten Island Ferry,19454,2016,08
Staten Island Ferry,17377,2016,09
Staten Island Ferry,14546,2016,10
Staten Island Ferry,11108,2016,11
Staten Island Ferry,8432,2016,12
Staten Island Ferry,7823,2017,01
Staten Island Ferry,8255,2017,02
Staten Island Ferry,7599,2017,03
Staten Island Ferry,12814,2017,04
Staten Island Ferry,14766,2017,05
Staten Island Ferry,16029,2017,06
Staten Island Ferry,17021,2017,07
Staten Island Ferry,17973,2017,08
Staten Island Ferry,15393,2017,09
Staten Island Ferry,13412,2017,10
Staten Island Ferry,9798,2017,11
Staten Island Ferry,7410,2017,12
Staten Island Ferry,6196,2018,01
Staten Island Ferry,6637,2018,02
Staten Island Ferry,6997,2018,03
Staten Island Ferry,9710,2018,04
Staten Island Ferry,12750,2018,05
Staten Island Ferry,13579,2018,06
Staten Island Ferry,14360,2018,07
Staten Island Ferry,13897,2018,08
Staten Island Ferry,12906,2018,09
Staten Island Ferry,12503,2018,10
Staten Island Ferry,8696,2018,11
Staten Island Ferry,7641,2018,12
Staten Island Ferry,7148,2019,01
Staten Island Ferry,6726,2019,02
Staten Island Ferry,8148,2019,03
Staten Island Ferry,10882,2019,04
Staten Island Ferry,12750,2019,05
Staten Island Ferry,13154,2019,06
Staten Island Ferry,13807,2019,07
Staten Island Ferry,14857,2019,08
Staten Island Ferry,13967,2019,09
Staten Island Ferry,11685,2019,10
Staten Island Ferry,9582,2019,11
Staten Island Ferry,7101,2019,12
Staten Island Ferry,8701,2020,01
Staten Island Ferry,7666,2020,02
Staten Island Ferry,7604,2020,03
Staten Island Ferry,4862,2020,04
Staten Island Ferry,9015,2020,05
Staten Island Ferry,13006,2020,06
Staten Island Ferry,14328,2020,07
Staten Island Ferry,15103,2020,08
Staten Island Ferry,16503,2020,09
